SDPIPARQUE,PARQUE,LOCALIDAD,DIRECCION,TIPO_PARQUE
18-207,Parque Olaya Herrera,18,Carrera 21 25-35 Sur,10
10-018,Villa Luz,10,Carrera 77A 64B - 03,10
10-249,Florencia,10,Carrera 88 Calle 75,1
19-058,Arborizadora Alta,19,Diagonal 73 A sur Transversal 36 B,1
09-016,Modelia,09,Carrera 81 C N┬░24 c 50,1
05-042,Miravalle,05,Carrera 14 H Bis Calle 74 D sur,1
14-008,Pepita,14,Calle 10 Carrera 26,1
19-490,Paraiso,19,Cra 27 Q Calle 71 K sur,1
09-026,Villa Helena Villemar,09,Carrera 96 G N┬░20 A 35,1
16-099,Tejar,16,Carrera 52 B Calle 20 sur,10
16-204,Jazm├¡n,16,Av. Carrera 50 Calle 1 D,10
11-074,Bilbao,11,Calle 142 C Carrera 151 A,1
01-023,Servit├í,01,Carrera 7H Calle 165,10
13-016,Urb Salitre (Greco),13,Carrera 66 B Calle 43,1
10-169,El Carmelo,10,Entre Carrera 101 A y 104A Calle 71B y Canal del Jaboque,10
11-008,Ciudadela Cafam,11,Cra 113 C Calle 142 A,1
11-109,Prado Pinz├│n,11,Calle 143 Carrera 49,1
11-162,Victoria norte,11,Calle 150 Carrera 54,1
11-084,Tibabuyes 1 - 2,11,Carrera 121 C Calle 130 C,1
16-012,Champion Primavera,16,Transv 42 A Calle 5A,1
08-040,Carvajal,08,Cra 70 B Calle 24 A sur,1
05-141,Alfonso L├│pez,05,Av Llano Diagonal 91 sur,1
04-119,Alameda de la 12 N1,15,Carrera 12 D Calle 19 sur,1
19-756,Altos de la Estancia,19,Carrera 76 C  Diagonal 67 a sur,10
07-152,Autopista Sur (Pavco),07,Av. Calle 57 R sur (Aut. Sur) Carrera 72,10
18-028,Bosque San Carlos,18,Carrera 12 Bis,12
11-015,Berlin,11,Calle 142 Carrera 145 B,1
10-102,Villa de Granada,10,Entre Carrera 111A y Carrera 112A con Calle 75D y Calle 74C,10
07-163,Clarelandia,07,Calle 58 J sur Cra 80 G,10
07-260,El┬á Recreo,07,Calle 69 A Sur 93D - 45,12
06-005,Laguneta,06,Cra 55 Diagonal 49 sur,1
18-055,Molinos,18,Transversal 5 Calle 48 L sur,1
15-040,Fragua,15,Carrera 31 N.┬║ 14 B 57 sur,10
08-533,LAS LUCES Y VILLA RICA,08,Carrera 77 H Calle 52 A sur,1
03-122,Desarrollo Lourdes,03,Carrera 1A Este Calle 3,1
10-234,San Andr├®s,10,Carrera 102 con Calle 79,10
16-153,Pradera sur,16,Av calle 3 Carrera 66,1
08-212,La Igualdad,08,"Carrera 68A entre Calle 2 y Diagonal 3, Costado Occidental",10
15-029,Luna Park,15,Carrera 14 Calle 13 sur,1
15-036,Villa Mayor,15,Calle 32 A sur Carrera 34 C,10
08-552,Gilma,08,Transversal 85 A Calle 49 sur,12
01-031,Cedritos,01,Carrera 9 Calle 145,1
06-017,NUEVO MUZU,06,Diagonal 52 B sur   Cra 61B,10
01-189,Estrella norte,01,Calle 160 Carrera 19 B,1
01-079,Toberin,01,Calle 164 Carrera 16 C,1
12-091,Parque Recreodeportivo 1,12,Transversal 48 N┬░63-65,12
04-122,La Victoria,04,Diagonal 38 Sur No. 1F - 05,10
19-348,El Taller- El Ensue├▒o,19,Carrera 75A Diagonal 68 A Sur Calle 66 Sur A 68 Sur,10
19-032,Domingo Lain,19,Calle 64 C sur Transv 17N,1
05-476,Nuevo Milenio 1 - 2,05,Carrera 11 Calle 67 A Bis sur,1
05-459,Nuevo Usme,05,Carrera 14 A Calle 137 B sur,1
08-180,VILLA DE LOS SAUCES,08,Carrera 77 Bis Calle 58 C sur,1
04-103,Gait├ín cortes,04,Carrera 5 a este Diagonal 31 C sur,10
04-038,URBANIZACION ANTIOQUIA,04,Transversal 8a este Calle 50 b sur,1
19-346,Illimani (Para├¡so),19,"Entre las Calles 71 P Sur y 74 B sur, la Transversal 27 H y la carrera 27 I",10
18-041,Marruecos,18,Calle 48 P sur Carrera 5L,1
07-035,Naranjos,07,Carrera 80 J Calle 70 A sur,10
04-127,San Crist├│bal,04,Calle 13 sur N.┬║ 2- 50 este,12
08-127,Am├®ricas Occidental,08,Av. Boyac├í Calle 2 sur,1
03-148,Laches,03,Diagonal 4B  Cra 8 E,1
06-012,Urb. Tunjuelito,06,Cra 12 Calle 59 sur,1
13-128,Arena Movistar,13,Av Carrera 30 Diagonal 61 C,1
07-036,Villa del rio,07,Carrera 65 Calle 55 A sur,12
07-274,La Tingua Tibanica,07,Calle 73 D Sur Carrera 78 A hasta la 82 A Bis,10
11-058,Burgos Britalia 1 - 2,11,Carrera 73 Calle 160,1
07-273,La Esperanza,07,Calle 75 BIS Sur (Av. Ciudad de Cali) con Carrera 80J (Av. San Bernardino),10
06-063,El Tunal,06,Avenida Mariscal Sucre Carrera 24 A Calle 4B Sur Avda Boyac├í,12
10-002,Villas del Madrigal,10,Calle 75 C Carrera 99 B,1
09-048,Carlos Lleras (El Fuego),09,Carrera 70 Calle 23 C,1
08-770,Primavera,08,Calle 2 Carrera 91 C,1
16-112,Montes 1 y 2,16,Calle 10 sur N┬░39 - 29,10
01-540,Urb. Calle 170 / Alameda,01,Carrera 17 Calle 175,1
16-126,GORGONZOLA,16,Carrera 41 A Calle 5,1
11-686,Valle de Refous,11,Cra 101 calle 150a,1
10-045,LA EUROPA,10,Carrera 71 D Calle 67,1
19-750,Balmora Guadalupe,19,Autopista sur Carrera 71,1
01-313,Verbenal,01,Calle 187 Transversal 18 B,1
11-368,Fontanar del Rio,11,Diagonal 145 Carrera 122,10
07-391,El Porvenir,07,"Av 1┬░ de Mayo con Av Longitudinal de Occidente, Ciudadela El Porvenir",12
