LOCALIDAD,TITULO,CLASIFICAC,DIRECCION,AUTOR,FECHA_ELAB,X,Y
Usaquen,Simon Bolivar,E_Antropomorfa,KR 6A - CL 118,"Pinto Maldonado, Luis",ca. 1930 -1940,"105136,4484","110927,7389"
Usaquen,Fuente,Fuente,KR 6A YKR 6 - CL 118 Y CL 119,Anonimo,ca. 1950,"105176,4705","110942,5677"
Usaquen,Francisco de Paula Santander,E_Antropomorfa,AK 7 150 21,"Pinto Maldonado, Luis",ca. 1939-1982,"105781,7337","114239,6658"
Usaquen,Titanes de la comunicacion,Conjunto escultorico,CL 113 7 45,"Gutierrez, Roberto",ca. 1996,"104736,0005","110517,6041"
Usaquen,Sin titulo,E_Geometrica,AC 134 - KR 9,"Alvarez, Raul",1998,"105008,7079","112861,3775"
Usaquen,"Eva Duarte de Peron ""Evita""",E_Antropomorfa,CL 122 Y CL 121 - KR 20 Y KR 21,Anonimo,ca. 1994,"102885,96","111658,74"
Usaquen,Nuestra Señora de las Misericordias,E_Antropomorfa,KR 7 - CL 110A Y CL 111,Anonimo,ca. 1945,"104789,9057","110308,4245"
Usaquen,Reloj de la Iglesia Santa Barbara de Usaquen,Reloj,KR 6 118 40,Anonimo,ca.1994,"105212,5702","110924,1712"
Usaquen,Campanas de la Iglesia Santa Barbara de Usaquen,Campana,KR 6 118 40,Anonimo,Campana 1: 1915,"105213,1306","110926,0073"
,,,,,Campanas 2 y 3: 1959,,
Usaquen,Homenaje al Concejo Municipal de 1893,Placa,KR 6A 118 03,Anonimo,1893,"105117,6405","110933,1375"
Usaquen,Primera Junta Administradora Local,Placa,KR 6A 118 03,Anonimo,1992,"105120,8937","110939,7488"
Usaquen,Homenaje a Simon Bolivar,Placa,KR 6A 118 03,"Malagon Bravo, Eduardo",1996,"105125,6003","110943,6315"
Usaquen,Testimonio de la construccion de la Institucion Educativa General Santander,Placa,CL 119 6 40,Administracion Municipal de Usaquen,1935,"105167,994","110995,5587"
Santa Fe,Chorro de Padilla,Fuente,AV. CIRCUNVALAR (KR 5A E) CON CL 22,Anonimo,0,"102075,31","100566,39"
Santa Fe,Puente Carlos Holguin,Estructura ingenieril,AV. CIRCUNVALAR (KR 5A E) CON CL 22,"Manrique Canals, Alejandro",ca.1890,"102052,3111","100573,2391"
San Cristobal,Simon Bolivar,E_Antropomorfa,CL 13A S - KR 7,Anonimo,ca. 1959 - 1960,"98736,76261","97999,98199"
San Cristobal,Jose Maria Cordoba,E_Antropomorfa,CL 28 SUR - KR 1 ESTE,Anonimo,ca.1955,"98542,05122","96467,53616"
San Cristobal,Jorge Eliecer Gaitan,E_Antropomorfa,KR 7 - CL 24 SUR Y CL 25 SUR,"Vieco, Bernardo",0,"98160,64853","97237,17562"
San Cristobal,Naturaleza,E_Antropomorfa,CL 46A SUR - KR 3C ESTE,"Patiño Barreto, Edgar",ca.1997,"97971,25087","94277,19218"
San Cristobal,San Ignacio de Loyola,E_Antropomorfa,CL 8A SUR 5A 10,Anonimo,0,"99217,68712","98215,42574"
San Cristobal,San Francisco Javier,E_Antropomorfa,CL 8A SUR 5A 10,Anonimo,0,"99221,68726","98212,29742"
San Cristobal,Simbolos del Instituto para Niños Ciegos Fundacion Juan Maria Pardo Ospina,Relieve,KR 12 ESTE 11 30 SUR,Anonimo,0,"100075,4108","97224,99135"
San Cristobal,Homenaje al cuerpo docente del Instituto Colombiano para Ciegos,Placa,KR 12 ESTE 11 30 SUR,Instituto Colombiano para Ciegos,1932,"100074,4946","97223,4259"
San Cristobal,Bodas de oro de la devocion al Divino Niño Jesus del 20 de julio,Placa,KR 5A 27 19 SUR,Obra salesiana del Niño Jesus y,1985,"98031,94059","96927,06471"
San Cristobal,Cincuentenario de la Parroquia del Divino Niño Jesus del 20 de julio,Placa,KR 5A 27 19 SUR,Feligreses agradecidos,1992,"98037,44123","96921,52238"
San Cristobal,Primera piedra del barrio San Francisco Javier,Placa,CL 9 SUR 5 75,CArculo de Obreros,ca. 2013,"99194,94192","98138,37681"
San Cristobal,Terminacion de la segunda manzana del barrio San Francisco Javier,Placa,KR 5 8A 15 SUR,CArculo de Obreros,1920,"99281,87","98116,14"
San Cristobal,Primera piedra de la Iglesia de San Cristobal,Placa,CL 17A SUR 3D 81 ESTE,Parroquia de San Cristobal,1954,"99399,31","97296,23"
San Cristobal,Terminacion de la construccion de la Iglesia de San Cristobal,Placa,CL 17A SUR 3D 81 ESTE,Parroquia de San Cristobal,1967,"99413,11397","97307,09393"
San Cristobal,Reloj de la Iglesia del Divino Niño Jesus 20 de julio,Reloj,KR 5A 27 19 SUR,Anonimo,ca. 1992,"98036,06209","96922,64159"
San Cristobal,Campanas de la Iglesia de San Francisco Javier,Campana,CL 8A SUR 5A 10,Portilla Hermanos Ltda.,ca. 1960-1968,"99208,53279","98223,57971"
San Cristobal,Campanas de la Iglesia del Divino Niño Jesus del 20 de julio,Campana,KR 5A 27 19 SUR,Anonimo,1955,"98034,38874","96921,50704"
Usme,Usminia,E_Antropomorfa,CL 84 SUR - KR 14,"Quiñonez, Gabriel",ca.1997,"95924,57989","90251,23911"
Usme,Llama olimpica,E_Geometrica,KR 14I 91B 04 SUR,"Gamboa, Jaime",ca. 1998,"95437,72525","90291,54938"
Usme,Saguamanchica,E_Geometrica,KR 8 BBIS 79 45 SUR,"Gamboa, Jaime",ca. 1998,"96302,41082","90429,2829"
Tunjuelito,Patillas de la cordialidad,E_Fitomorfa,CL 48C SUR 22D 81,"Hoyos, Ana Mercedes",2000,"93924,7637","97498,85714"
Tunjuelito,Santiago Perez,E_Antropomorfa,KR 24 48C 86 SUR,Estudiantes de artes del INEM de Neiva,ca. 1996,"93981,08507","97770,17657"
Tunjuelito,Mahatma Gandhi,E_Antropomorfa,CL 48C SUR 22D 81,"Pal, Gautam",2003,"94207,15339","97357,5924"
Bosa,Cruz atrial,E_Geometrica,KR 80H - CL 60 SUR y CL 61 SUR,Anonimo,0,"88139,14186","101486,0432"
Bosa,Alameda,E_Fitomorfa,CL 59 SUR - KR 94,"Salcedo, Bernardo",ca. 2000 - 2001,"87060,57","104095,13"
Bosa,Antonio Maria Claret,E_Adosadas,CL 60 SUR 80H 58,Anonimo,0,"88209,17835","101600,3912"
Kennedy,"Sia, diosa del agua",Conjunto escultorico,AVENIDA DE LAS AM├ëRICAS CON KR 70,"Escultura: Zerda, MarAa Teresa",ca.1946 - 1948,"94019,08803","103714,1806"
,,,,"Portico : Vengoechea, Manuel de",,,
Kennedy,Camilo Torres,E_Antropomorfa,AVENIDA PRIMERO DE MAYO - CL 38C S,Anonimo,Escultura: ca. 2005,"92028,47121","102326,9399"
,,,,,Pedestal: ca. 1964,,
Kennedy,Monumento a las banderas,Conjunto escultorico,AVENIDA DE LAS AM├ëRICAS - KR 78K,Conjunto escultorico (pilares):,ca.1948,"92145,77838","103875,74"
,,,,"Neira MartAnez, Alonso",,,
Kennedy,"El arco, homenaje a Manuel Cepeda Vargas",E_Geometrica,AVENIDA DE LAS AM├ëRICAS - KR 74,"Negret, Edgar",ca.1997,"92729,35984","103898,2608"
Kennedy,Reloj Edificio Compensar,Reloj,TV 78H 41C 48 S,"Diseño: Brunner, Konrad",ca. 2000,"91065,15365","102184,1833"
Kennedy,Primera casa del programa Alianza para el progreso,Placa,CL 38 SUR 74 29,Placa 1: Anonimo,Placa 1: 1961,"91953,2313","102638,3421"
Kennedy,Inmaculada Concepcion,E_Antropomorfa,CL 41B S 78I 50,Anonimo,ca.1985,"91111,17582","102414,2532"
Kennedy,Sueño infantil,E_Antropomorfa,CL 44 SUR - KR 80G,"Daza, Jose Manuel",ca. 2000,"89997,89581","102831,1953"
Kennedy,Homenaje a A.J.F,E_Abstracta,DG 45 SUR - KR 80G,"Daza, Jose Manuel",ca. 2000,"89954,74503","102829,7908"
Kennedy,Dedo,E_Antropomorfa,CL 41D STV 78HBIS - CL 41D SUR,Junta de Accion Comunal,ca. 1983-1985,"91034,6923","102266,6145"
Suba,Flora y fauna del municipio de Suba,Mural,AVENIDA SUBA - DG 136,"Bohorquez, Jose Manuel",ca.1995-1996,"99948,49332","115246,1981"
Suba,Sinopsis historica de Suba,Mural,AVENIDA SUBA - DG 136,"Bohorquez, Jose Manuel",ca.1995 - 1996,"99947,74665","115249,7171"
Suba,La mujer del columpio,E_Antropomorfa,AC 139 - KR 77,"Garzon Correa, Emiro",ca.1996,"100105,3771","115120,614"
Suba,Angeles agustinianos,Conjunto escultorico,AC 139 - KR 76,"Paez Ferro, Julio",2007,"100270,7","115110,42"
Suba,Memoria visual de Suba,Mural,AVENIDA SUBA - DG 136,"Arriaga, Guillermo; Convergencia ArtAstica",ca.1998,"99917,60218","115210,3068"
Suba,Encuentro de dos mundos,Conjunto escultorico,AVENIDA SUBA - DG 136,"Lopera, Jorge",ca.1996 - 1997,"99855,22581","115235,8507"
Suba,Derecho a la vida,E_Antropomorfa,KR 100 A - CL 128C,"Rodriguez Lara, Jose Gerardo",ca.1997,"97639,76948","114525,2082"
Suba,Reloj de la Iglesia de la Inmaculada Concepcion,Reloj,KR 90 146C 40,No aplica,1939,"99349,12806","116024,7919"
Suba,La Gaitana,E_Antropomorfa,TV 125BIS - CL 135A,"Salvador, Ricardo",1991,"96638,30191","116169,4809"
Suba,Estampa muisca,Mural,AVENIDA SUBA - DG 136,"Piñeres, Carlos",ca.1998,"99882,44385","115269,8198"
Suba,Parque ludico Puerta del Sol,Conjunto escultorico,CL 139 126C - 02,"Colmenares, Manolo; MACI (Movimiento ArtAstico Cultural IndAgena)",ca. 2000,"96671,62621","116555,509"
Suba,Rodrigo Lara Bonilla,E_Geometrica,AC 127 - KR 46,"Proyecto: Cruz, Vladimiro",Proyecto: 1985,"102447,5444","112255,9378"
,,,,Construccion: IDU,Conjunto escult├│rico: 1987,,
Suba,Rodrigo Lara Bonilla,E_Antropomorfa,AC 127 - AVENIDA SUBA,"Avila Martinez, Luis Alfredo",1985,"100715,2358","112718,0267"
Suba,Julio Florez,E_Antropomorfa,CL 94A - KR 69,"Pinto Maldonado, Luis",ca.1967,"99888,648","110247,7178"
Suba,Mamapacha,Mural,KR 91 146C 57,"Colmenares, Manolo;",ca.1995,"99253,27509","116037,0359"
,,,,MACI (Movimiento ArtAstico Cultural IndAgena),,,
Suba,Cacique de Suba,E_Antropomorfa,CL 169B - KR 92 V├ìA COTA,"Colmenares, Manolo;",ca. 1994,"100030,1312","118008,8559"
,,,,MACI (Movimiento ArtAstico Cultural IndAgena),,,
Suba,Creacion del mundo segun la cosmogonia muisca,Mural,KR 111A 139 88,"Colmenares, Manolo. MACI (Movimiento ArtAstico Cultural IndAgena)",ca.1994,"97230,86171","116260,173"
Suba,Virgen con el Niño,E_Antropomorfa,DG 135 Y DG 136 - KR 67,Anonimo,ca.1946,"99871,00345","115217,2178"
Suba,"La naturaleza, el hombre y la tecnologia",E_Geometrica,AK 58 137B 35,"Estrada, Manuel",1996,"101425,1494","114584,8687"
Suba,Sufrimientos y esperanzas de la niñez colombiana,E_Antropomorfa,TV 60 128A 51,"RAos Vanegas, Alonso",1989,"100431,2939","113324,657"
Suba,Homenaje al paso de Simon Bolivar por Suba,Placa,KR 90 Y KR 91 - CL 146CBIS Y CL 147,Municipio de Suba,ca.1930,"99284,87295","116020,0517"
Suba,Restauracion del edificio de sesiones del antiguo Concejo Municipal de Suba,Placa,KR 91 146C 29,Primera Junta Administradora Local de Suba,1994,"99253,55419","116019,7384"
Suba,Homenaje a Francisco de Paula Santander,Placa,KR 91 146C 29,Municipio y Escuelas de Suba,1940,"99253,97473","116021,8278"
Suba,Homenaje a Simon Bolivar,Placa,KR 91 146C 29,Concejo Municipal de Suba,1930,"99255,61615","116030,4364"
Suba,Aniversario de la primera Junta Administradora Local de Suba,Placa,CL 146CBIS 90 57,AlcaldAa Local de Suba,1993,"99266,74787","115980,5278"
Suba,Primera piedra Parroquia Inmaculada Concepcion,Placa,KR 90 146C 40,"Ayape, Eugenio",1937,"99347,50435","116030,3061"
Suba,Buzon de correo de Suba,Buzón exento,KR 92 - CL 146CBIS,No aplica,ca.1936 - 1952,"99173,37865","116004,0801"
Suba,Alegoria a la educacion,Conjunto escultorico,KR 111A 139 88,"Osorio Bisbal, Jose Vicente",ca. 2000,"97241,9543","116297,368"
Suba,Campanas de Iglesia de la Inmaculada Concepcion de Suba,Campana,KR 90 146C 40,Anonimo,1959,"99351,67692","116034,1579"
Barrios Unidos,Manuela Ayala de Gaitan,E_Antropomorfa,DG 76BIS - KR 51,Anonimo,ca.1943,"100710,0363","108448,0255"
Barrios Unidos,Jorge Eliecer Gaitan,E_Antropomorfa,KR 54 - CL 78 A,"Nieto L., Anacleto",ca.1957,"100555,1428","108706,1911"
,,,,"Pinto Maldonado, Luis",,,
Barrios Unidos,Siervo de Jesus Cruz,E_Antropomorfa,CL 86 A - KR 24,Anonimo,ca.2000,"101596,5118","108717,7672"
Barrios Unidos,Rafael Uribe Uribe,E_Antropomorfa,KR 29 A - CL 71C,"Cuellar, Silvano",ca. 1914 - 1938,"100567,8338","107721,73"
Barrios Unidos,Reloj de la Iglesia San Fernando Rey,Reloj,CL 72 57A 16,Anonimo,0,"99917,82202","108346,9627"
Barrios Unidos,Primera piedra de la Iglesia San Fernando Rey,Placa,CL 72 57A 16,Arquidiocesis de Bogota,1941,"99921,64334","108341,8766"
Barrios Unidos,Primera piedra de la Iglesia de la Asuncion de Nuestra Señora,Placa,CL 79 28A 47,Anonimo,1943,"101219,24","108293,11"
Barrios Unidos,Primera piedra de la casa cural de la Parroquia de la Asuncion de Nuestra Señora,Placa,CL 79 28A 47,Arquidiocesis de Bogota,1949,"101223,7541","108291,7736"
Barrios Unidos,Primera piedra Convento Siervas de Maria,Placa,CL 72 27 10,Arquidiocesis de Bogota,1956,"100981,2761","107543,9508"
Barrios Unidos,Jose Maria Cordova,E_Ecuestre,CL 80 50 06,"Paez Ferro, Julio",2010,"101027,6632","108740,347"
Teusaquillo,Reloj del Instituto Geografico Agustin Codazzi,Reloj,AK 30 48 51,No aplica,1960,"99745,67437","104701,0041"
Los Martires,Antonio Ricaurte,E_Antropomorfa,CL 9 - KR 28,"Greber, Henri Leon",ca.1923,"98179,21679","101356,8693"
Los Martires,Jorge Eliecer Gaitan,E_Antropomorfa,CL 9 - KR 28,"Pinto Maldonado, Luis",ca.1949,"98175,24355","101356,3377"
Los Martires,Hombre a caballo,E_Ecuestre,AC 26 19B 55,"Botero, Fernando",ca.1999,"100109,4287","102645,8333"
Los Martires,Diego Uribe,Conjunto escultorico,KR 24 - CL 12B Y CL 13,"Acuña, Luis Alberto",ca.1937,"98819,96895","101539,9171"
Los Martires,Virgen de Fatima,E_Adosadas,CL 22D 17 33,"MartAnez, Hugo",ca.1954,"100042,6408","101898,3414"
Los Martires,Aparicion de la Virgen de Fatima,Mural,CL 22D 17 33,"Ospina, Marco",1954,"100044,5389","101892,66"
Los Martires,Jose Ignacio Barberi,E_Antropomorfa,AK 14 1 65,"Cano, Francisco Antonio",1926,"98845,65013","99698,53062"
Los Martires,Escudo de Colombia,E_Adosadas,AC 13 18 90,"Colombo, Ramelli",ca.1913-1917,"99365,27018","101207,4761"
Los Martires,Erato,Relieve,KR 15 13 63,"Vieco, Bernardo",ca.1938,"99705,50552","100950,6464"
Los Martires,Francisco Antonio Zea,E_Antropomorfa,AK 14 - CL 7,Anonimo,0,"99275,45639","100235,5401"
Antonio Nariño,Carlos E. Restrepo,E_Antropomorfa,KR 17 Y KR 18 - CL 19B SUR,"Cano, Francisco Antonio",1924,"97225,0921","98585,8924"
Antonio Nariño,Francisco de Paula Santander,E_Antropomorfa,KR 29 A - CL 29 SUR,"Pinto Maldonado, Luis",ca.1940,"95976,91151","99346,19001"
Antonio Nariño,San Antonio de Padua,Mural,KR 14 6 33 SUR,"Hernandez GarcAa, Emiliano",ca.1963,"98261,95025","99034,42939"
Puente Aranda,Bacata,E_Geometrica,KR 56 - CL 3A BIS y CL 4,Anonimo,1989,"95390,53808","102648,3228"
Puente Aranda,Jaime Pardo Leal,E_Antropomorfa,AC 20 - KR 43A,"Garzon Correa, Emiro",ca.1989,"97600,38966","103352,3232"
La Candelaria,25 años un grito de dignidad contra la impunidad,Placa,KR 7 - CL 10,Familiares de los desaparecidos del Palacio de Justicia,2010,"100258,7023","100233,8345"
Rafael Uribe Uribe,Marco Fidel Suarez,E_Antropomorfa,TV 13H - DG 45F S,"Alarcon, Daniel",ca. 1989 -1990,"95087,51026","97049,95088"
Rafael Uribe Uribe,John F. Kennedy,E_Antropomorfa,CL 24 SUR Y CL 25 SUR - KR 10B y KR 10C,"Pinto Maldonado, Luis",1964,"97728,06896","97595,22931"
Rafael Uribe Uribe,Enrique Olaya Herrera,E_Antropomorfa,KR 24 - CL 23 SUR Y CL 24 SUR,"Gomez Castro, Carlos",ca. 1968,"96764,64892","98675,32668"
Rafael Uribe Uribe,Jorge Eliecer Gaitan,E_Antropomorfa,CL 22 SUR - KR 24,"Vargas, Moises",1959,"96886,95035","98713,73414"
Rafael Uribe Uribe,Luis Carlos Galan,Conjunto escultorico,KR 26B - CL 27 S,"Garzon, Emiro",1990,"96221,87245","98972,10674"
Rafael Uribe Uribe,Antonio Maria Claret,E_Antropomorfa,CL 44 SUR - TV 27BIS y KR 27,Anonimo,ca.1953,"94465,93467","98581,57496"
Rafael Uribe Uribe,Santa Lucia,E_Antropomorfa,AK 14 - CL 44 SUR,Anonimo,0,"94896,3057","97623,62315"
Rafael Uribe Uribe,San Jose y el Niño,E_Antropomorfa,CL 22 SUR - KR 12D y KR 12DBIS,Anonimo,ca.1960,"97509,55566","98123,11841"
Ciudad Bolivar,Puente del indio,Estructura ingenieril,TV 40 - KR 42 Y KR 43,Anonimo,0,"90407,48478","96937,69701"
Ciudad Bolivar,Cruz de Uraba,E_Geometrica,CL 75 SUR - KR 46 Y KR 46B,Anonimo,ca. 1996,"90252,45173","97281,08558"
Ciudad Bolivar,El sapo,E_Zoomorfa,DG 86B SUR - KR 18Q,"Bustos, Harold - Semillas Creativas y Comunidad Barrio Juan Pablo II",ca. 1997 - 1998,"92144,72755","95365,42674"
Ciudad Bolivar,Tributo a la vida,E_Antropomorfa,CL 88 S - KR 18PBIS Y KR 18Q,"Bustos, Harold",2007,"92188,71156","95369,34739"
Ciudad Bolivar,Nuestra Señora de la Candelaria,E_Antropomorfa,CL 64C S 24 98,Anonimo,ca. 1985,"92044,90849","96869,52704"
Ciudad Bolivar,Entrega de la primera etapa de Arborizadora Baja,Placa,KR 38 - CL 58C SUR,Caja de Vivienda Popular,1990,"91974,33","97556,69"
,,,,AlcaldAa Mayor de Bogota,,,
Santa Fe,Homenaje a Enrique Alvarez Henao,Placa,KR 7 17 48,Instituto Colombiano de Apicultura,1974,"100612,7453","100848,4808"
Santa Fe,Reproduccion Escultura No. 27,E_Antropomorfa,KR 7 37 21,Anonimo,ca. 1971,"101264,8355","103197,6746"
Santa Fe,Homenaje a Rosa Elvira Cely,Placa,CL 39 - KR 1 Y KR 5,Placa izquierda: Instituto Distrital de Recreacion y Deporte (IDRD),Placa izquierda: ca. 2013,"101826,3483","103086,5757"
,,,,Placa derecha: Colectivo Casa Malandra,Placa derecha: ca. 2015,,
,,,,"Inscripcion: Cely, Adriana Arandia",,,
Santa Fe,Quiosco de la luz,Estructura arquitectonica,CL 26 - KR 5A,"Mendoza, Simon (Constructor)",ca. 1910,"100964,2375","101611,2175"
Chapinero,Buzon,Buzón exento,TV 4BIS Y KR 4A - CL 57 Y CL 58,No aplica,ca.1936 - 1952,"101891,4377","105126,6188"
Santa Fe,Pergolas del Parque Nacional Enrique Olaya Herrera,Pergola,CL 39 - KR 5,Ministerio de Obras Publicas,ca. 1933-1934,"101460,09","103075,85"
Santa Fe,Jose Manuel Groot,E_Antropomorfa,KR 7 Y KR 10 - CL 27,"Palacios, Eloy",Busto: 1893,"100867,5893","101893,0279"
,,,,,Pedestal: 1955,,
Chapinero,Alfonso Palacio Rudas,E_Antropomorfa,KR 13 - CL 93A Y CL 93B,"Escultura: Plazas Uscategui, Maria Eugenia.
Pedestal: Ruano, Consuelo (Diseño); Jimenez Mora, Deivy (Construccion)",ca. 2014,"103183,62","108956,18"
Usaquen,Fryderyk Chopin,E_Antropomorfa,KR 21 - CL 104A Y CL 105,"Busto: Anonimo Pedestal y basamento (Diseño): Zarama, Fernando; Buitrago, Emilio",ca.2006,"102621,1786","110591,5915"
Teusaquillo,Fuente de la juventud,Conjunto escultorico,CL 57 y CL 57A - DG 61B,"RodrAguez Forero, Guillermo",ca.1988,"100097,4649","105591,0676"
Teusaquillo,Gernika,Conjunto escultorico,DG 46 - TV 16A Y 17,"Betolaza Roman, Violeta",ca. 2011,"100773,8707","104264,9846"
Santa Fe,Girasol,E_Fitomorfa,CL 24 6 00,"Hoyos, Ana Mercedes",ca. 1984,"100927,808","101536,7834"
La Candelaria,Simon Bolivar,E_Antropomorfa,KR 2 12C 69,Anonimo,,"100889,228","100305,1048"